Recieved	Income Paid	Confirmed	Checked	Refunded	Net_rate
136993.00	115100.00	112298.64	136897.00	136933.00	115100.00	18.03
110247.00	84000.00	90373.88	106345.00	106345.00	90226.00	18.03
66974.00	77100.00	54901.26	70874.00	70874.00	70874.00	18.03
297732.47	347341.00	243138.70	347341.00	347341.00	344311.28	30
389224.17	401264.69	292224.78	401264.00	401264.69	401264.69	27.09
595000.00	595000.00	434350.00	595000.00	595000.00	595000.00	27
0	57105.57	14143.22	45684.46	18263.67	18263.67	22.56
0	395596.50	520125.00	395596.50	395596.50	395596.50	23.53
719581.00	111980.00	471895.46	111980.00	111980.00	0	18.03
627142.00	805425.00	514093.38	838579.00	838579.00	838579.00	18.03
136424.00	172170.00	0	136545.00	0	0	18.03
325000.00	135690.00	88984.42	135690.00	0	0	18.03
195000.00	67460.00	44239.73	82697.00	0	0	18.03
0	844071.50	569806.00	0	384071.50	384071.50	20.46
209431.49	218601.00	165618.42	209431.49	209431.49	209431.49	20.92
500000.00	500000.00	425000.00	500000.00	500000.00	500000.00	15
364700.00	364700.00	256748.80	364700.00	364700.00	364700.00	29.6
287800.00	287800.00	205272.32	287800.00	287800.00	287800.00	25.78
58000.00	58000.00	40275.20	58000.00	58000.00	58000.00	30.56
123800.00	123800.00	87898.00	123800.00	123800.00	123800.00	29
128000.00	128000.00	81834.20	128000.00	128000.00	128000.00	25.74
0	52000.00	42626.48	52000.00	52000.00	0	18.03
